id,Name,Univ,Year,Country,Title,Advisor,Students
20527,Kai  Salomaa,Turun yliopisto,1989,Finland,Alternation and Pushdown Stores in Computations of Tree Automata,"['20509', '14982']","['169475', '169476', '168228', '220169', '220170', '168344', '187327', '169474']"
196852,Mikhail  Barash,Turun yliopisto,2015,Finland,Defining contexts in context-free grammars,['168344'],[]
168437,Artur  Jeż,Uniwersytet Wrocławski,2010,Poland,Conjunctive grammars and equations over sets of natural numbers,"['105531', '168344']",[]
176368,Tommi J. M. Lehtinen,Turun yliopisto,2013,Finland,Numbers and languages,['168344'],[]
7486,Karl Theodor Wilhelm Weierstraß,Westfälische Wilhelms-Universität Münster,1841,Germany,Über die Entwicklung der Modularfunktionen,['29458'],"['58044', '40979', '40980', '40981', '9712', '24101', '29561', '234089', '4642', '11370', '49522', '9713', '45120', '45121', '9714', '9715', '9716', '18336', '9717', '9711', '52330', '72581', '250104', '250100', '9720', '18337', '9721', '51691', '42452', '18344', '46876', '9722', '47611', '7487', '49039', '49397', '49176', '9723', '9724', '9718', '9719', '63743', '18334', '63739', '63738', '66188']"
18331,Ernst Eduard Kummer,Martin-Luther-Universität Halle-Wittenberg,1831,Germany,De cosinuum et sinuum potestatibus secundum cosinus et sinus arcuum multiplicium evolvendis,['25484'],"['58045', '58046', '18598', '40979', '40980', '40981', '9712', '58056', '24101', '29561', '45100', '45101', '18332', '17983', '4642', '45107', '11370', '45108', '45113', '45115', '45118', '76359', '9713', '9714', '9715', '30705', '18336', '52330', '250104', '156724', '49524', '250100', '9720', '9721', '51691', '51692', '51693', '62590', '76438', '42452', '18344', '46876', '47611', '7487', '49039', '49397', '49176', '9723', '9718', '9719', '63741', '63742', '63743', '18334', '63739', '63740', '63738', '63736']"
55185,Joseph  Liouville,"Faculté des Sciences, Paris",1836,France,"Sur le développement des fonctions ou parties de fonctions en séries de sinus et de cosinus, dont on fait usage dans un grand nombre de questions de Mécanique et de Physique, suivi de Sur la figure d'une masse fluide homogène en équilibre, et douée d'un mouvement de rotation","['17865', '104652']","['24101', '100550']"
146096,Leonid Kuz'mich Lakhtin,Lomonosov Moscow State University,,Russia,,['24101'],[]
24108,Nikolay Yakovlevich Sonin,Lomonosov Moscow State University,1874,Russia,,['24101'],[]
98931,Max Aizikovich Akivis,Lomonosov Moscow State University,1958,Russia,,['36439'],[]
89233,Vaclovas  Bliznikas,Moscow State Pedagogical Institute,1961,Russia,On the Geometry of Metric Spaces of Linear Elements,['36439'],"['98089', '98083', '98087', '98085', '95299', '98090', '89271', '98084', '98086']"
61016,Vladislav V. Goldberg,Lomonosov Moscow State University,1961,Russia,Some Pairs of Laplace Sequences in N-dimensional Projective Space,['36439'],[]
89234,Kleopas  Grincevicius,Lomonosov Moscow State University,1955,Russia,On Hypercomplexes of Lines in the Four-Dimensional Projective Space,['36439'],"['98088', '89279', '98089', '98090', '89280']"
98358,Nikolai Ivanovich Kovantsov,Lomonosov Moscow State University,1948,Russia,,['36439'],['100731']
102548,G. N. Makeev,Moscow State Pedagogical Institute,1963,Russia,Focal Pair of Congruences,['36439'],[]
179351,Anatoly Mikhailovich Vasil'ev,Lomonosov Moscow State University,1952,Russia,Invariant analytic methods in differential geometry,['36439'],"['195222', '17039']"
104676,Georgii Petrovich Boev,Saratov State University,1935,Russia,,['36436'],[]
104487,Arkadii Aleksandrovich Kosmodem'yanskii,Lomonosov Moscow State University,,Russia,,['36436'],[]
104673,Georgii Ivanovich Petrov,Lomonosov Moscow State University,,Russia,,['36436'],[]
104675,Vladimir Nikolaevich Veniaminov,Lomonosov Moscow State University,,Russia,,['36436'],[]
92511,Nikolai Ivanovich Brish,Lomonosov Moscow State University,1953,Russia,,"['55146', '55145']",['79472']
107476,Lev Alekseevich Chudov,Lomonosov Moscow State University,1952,Russia,,['55146'],[]
165961,Aleksey Fedorovich Filippov,Lomonosov Moscow State University,1953,Russia,,['55146'],['193783']
